"";"Kingdom";"Phylum";"Class";"Order";"Family";"Genus"
"ASV1571";"Bacteria";"Myxococcota";"Myxococcia";"Myxococcales";"Archangiaceae";"Cystobacter"
"ASV1572";"Bacteria";"Cyanobacteriota";"Cyanophyceae";"Synechococcales";"Prochlorococcaceae";"Cyanobium"
"ASV1573";"Bacteria";"Bacillota";"Bacilli";"Bacillales";"Paenibacillaceae";"Cohnella"
"ASV1574";"Eukaryota";"Chlorophyta";"Ulvophyceae";"Oltmannsiellopsidales";"Oltmannsiellopsidaceae";"Oltmannsiellopsis"
"ASV1575";"Eukaryota";"Ascomycota";"Sordariomycetes";"Xylariales";"Xylariaceae";"Rosellinia"
"ASV1576";"Eukaryota";"NA";"Dinophyceae";"Gonyaulacales";"Pyrocystaceae";"Pyrocystis"
"ASV1577";"Eukaryota";"Ascomycota";"Saccharomycetes";"Saccharomycetales";"Dipodascaceae";"Saprochaete"
"ASV1578";"Bacteria";"Actinomycetota";"Actinomycetes";"Mycobacteriales";"Nocardiaceae";"Williamsia"
"ASV1579";"Eukaryota";"NA";"Centroplasthelida";"Acanthocystida";"Raphidocystidae";"Raphidocystis"
"ASV1580";"Bacteria";"Pseudomonadota";"Betaproteobacteria";"Burkholderiales";"NA";"Aquabacterium"
"ASV1581";"Bacteria";"Pseudomonadota";"Alphaproteobacteria";"Hyphomicrobiales";"Beijerinckiaceae";"Rhodoblastus"
"ASV1582";"Bacteria";"Bacillota";"Bacilli";"Bacillales";"Bacillales Family X. Incertae Sedis";"Brockia"
"ASV1583";"Bacteria";"Acidobacteriota";"Terriglobia";"Terriglobales";"Acidobacteriaceae";"Candidatus Sulfotelmatobacter"
"ASV1584";"Bacteria";"Bacillota";"Bacilli";"Lactobacillales";"Lactobacillaceae";"Lentilactobacillus"
"ASV1585";"Bacteria";"Myxococcota";"NA";"Nannocystales";"Nannocystaceae";"Nannocystis"
"ASV1586";"Eukaryota";"Mucoromycota";"Mucoromycetes";"Mucorales";"Lichtheimiaceae";"Phascolomyces"
"ASV1587";"Bacteria";"Campylobacterota";"Epsilonproteobacteria";"Campylobacterales";"Thiovulaceae";"Sulfurimonas"
"ASV1588";"Eukaryota";"Chlorophyta";"Ulvophyceae";"Bryopsidales";"Codiaceae";"Codium"
"ASV1589";"Eukaryota";"Ascomycota";"Saccharomycetes";"Saccharomycetales";"NA";"Pachysolen"
"ASV1590";"Eukaryota";"Chlorophyta";"Trebouxiophyceae";"NA";"NA";"Elliptochloris"
"ASV1591";"Bacteria";"Thermodesulfobacteriota";"Desulfarculia";"Desulfarculales";"Desulfarculaceae";"Desulfarculus"
"ASV1592";"Bacteria";"Cyanobacteriota";"Cyanophyceae";"Pleurocapsales";"Hyellaceae";"Hyella"
"ASV1593";"Bacteria";"Cyanobacteriota";"Cyanophyceae";"Nostocales";"Nostocaceae";"Atlanticothrix"
"ASV1594";"Eukaryota";"Basidiomycota";"Agaricomycetes";"Russulales";"NA";"Gloeopeniophorella"
"ASV1595";"Bacteria";"Ignavibacteriota";"Ignavibacteria";"Ignavibacteriales";"Melioribacteraceae";"Melioribacter"
"ASV1596";"Bacteria";"Pseudomonadota";"Alphaproteobacteria";"Rhodobacterales";"Paracoccaceae";"Thioclava"
"ASV1597";"Bacteria";"Bacillota";"Bacilli";"Bacillales";"Bacillaceae";"Lysinibacillus"
"ASV1598";"Bacteria";"Pseudomonadota";"Alphaproteobacteria";"Rhodospirillales";"Acetobacteraceae";"Tanticharoenia"
"ASV1599";"Eukaryota";"NA";"Choanoflagellata";"Acanthoecida";"Stephanoecidae";"Didymoeca"
"ASV1600";"Eukaryota";"Mucoromycota";"Mucoromycetes";"Mucorales";"Mucoraceae";"Helicostylum"
"ASV1601";"Bacteria";"Bacteroidota";"Cytophagia";"Cytophagales";"Cyclobacteriaceae";"Cyclobacterium"
"ASV1602";"Eukaryota";"Ascomycota";"Sordariomycetes";"Microascales";"Microascaceae";"Lomentospora"
"ASV1603";"Bacteria";"Pseudomonadota";"Alphaproteobacteria";"Parvularculales";"Parvularculaceae";"Marinicaulis"
"ASV1604";"Bacteria";"Pseudomonadota";"Alphaproteobacteria";"Rhodobacterales";"Roseobacteraceae";"Loktanella"
"ASV1605";"Eukaryota";"Evosea";"Variosea";"Fractovitellida";"Soliformoviidae";"Soliformovum"
"ASV1606";"Bacteria";"Pseudomonadota";"Gammaproteobacteria";"Cardiobacteriales";"Ignatzschineriaceae";"Ignatzschineria"
"ASV1607";"Bacteria";"Actinomycetota";"Actinomycetes";"Pseudonocardiales";"Pseudonocardiaceae";"Labedaea"
"ASV1608";"Bacteria";"Pseudomonadota";"Alphaproteobacteria";"Rhodospirillales";"Acetobacteraceae";"Rhodopila"
"ASV1609";"Eukaryota";"Chlorophyta";"Chlorodendrophyceae";"Chlorodendrales";"Chlorodendraceae";"Scherffelia"
"ASV1610";"Bacteria";"Pseudomonadota";"Alphaproteobacteria";"Hyphomicrobiales";"Methylocystaceae";"Methylocystis"
"ASV1611";"Bacteria";"Pseudomonadota";"Alphaproteobacteria";"Hyphomicrobiales";"Methylocystaceae";"Hansschlegelia"
"ASV1612";"Eukaryota";"Basidiomycota";"Agaricomycetes";"Agaricales";"Cyphellaceae";"Chondrostereum"
"ASV1613";"Eukaryota";"Chlorophyta";"Ulvophyceae";"Trentepohliales";"Trentepohliaceae";"Cephaleuros"
"ASV1614";"Eukaryota";"Basidiomycota";"Agaricomycetes";"Polyporales";"Irpicaceae";"Trametopsis"
"ASV1615";"Eukaryota";"Basidiomycota";"Agaricomycetes";"Agaricales";"Squamanitaceae";"Phaeolepiota"
"ASV1616";"Bacteria";"Pseudomonadota";"Betaproteobacteria";"Nitrosomonadales";"Methylophilaceae";"Methylovorus"
"ASV1617";"Bacteria";"Actinomycetota";"Actinomycetes";"Micrococcales";"Micrococcaceae";"Neomicrococcus"
"ASV1618";"Bacteria";"Bacteroidota";"Chitinophagia";"Chitinophagales";"Chitinophagaceae";"Deminuibacter"
"ASV1619";"Bacteria";"Actinomycetota";"Actinomycetes";"Streptosporangiales";"Thermomonosporaceae";"Actinocorallia"
"ASV1620";"Bacteria";"Pseudomonadota";"Alphaproteobacteria";"Rhodobacterales";"Paracoccaceae";"Rhodosalinus"
"ASV1621";"Bacteria";"Actinomycetota";"Actinomycetes";"Micromonosporales";"Micromonosporaceae";"Couchioplanes"
"ASV1622";"Bacteria";"Pseudomonadota";"Alphaproteobacteria";"Rickettsiales";"Rickettsiaceae";"Orientia"
"ASV1623";"Bacteria";"Bacillota";"Tissierellia";"Tissierellales";"Thermohalobacteraceae";"Sporosalibacterium"
"ASV1624";"Eukaryota";"Cercozoa";"Chlorarachniophyceae";"NA";"NA";"Gymnochlora"
"ASV1625";"Bacteria";"Mycoplasmatota";"Mollicutes";"Entomoplasmatales";"NA";"Williamsoniiplasma"
"ASV1626";"Bacteria";"Bacteroidota";"Sphingobacteriia";"Sphingobacteriales";"Sphingobacteriaceae";"Solitalea"
"ASV1627";"Bacteria";"Cyanobacteriota";"Cyanophyceae";"Oscillatoriales";"Sirenicapillariaceae";"Limnospira"
"ASV1628";"Bacteria";"Cyanobacteriota";"Cyanophyceae";"Oscillatoriales";"Oscillatoriaceae";"Lyngbya"
"ASV1629";"Eukaryota";"Chytridiomycota";"Neocallimastigomycetes";"Neocallimastigales";"Neocallimastigaceae";"Neocallimastix"
"ASV1630";"Bacteria";"Bacteroidota";"Bacteroidia";"Bacteroidales";"Barnesiellaceae";"Barnesiella"
"ASV1631";"Bacteria";"Bacteroidota";"Sphingobacteriia";"Sphingobacteriales";"Sphingobacteriaceae";"Pseudopedobacter"
"ASV1632";"Bacteria";"Bacteroidota";"Bacteroidia";"Bacteroidales";"Muribaculaceae";"Candidatus Amulumruptor"
"ASV1633";"Bacteria";"Pseudomonadota";"Betaproteobacteria";"Burkholderiales";"Alcaligenaceae";"Oligella"
"ASV1634";"Bacteria";"Actinomycetota";"Actinomycetes";"Actinomycetales";"Actinomycetaceae";"Arcanobacterium"
"ASV1635";"Bacteria";"Pseudomonadota";"Alphaproteobacteria";"Hyphomicrobiales";"Xanthobacteraceae";"Ancylobacter"
"ASV1636";"Eukaryota";"NA";"NA";"Colponemida";"Acavomonidia";"Acavomonas"
"ASV1637";"Bacteria";"Cyanobacteriota";"Cyanophyceae";"Oscillatoriales";"Oscillatoriaceae";"Phormidium"
"ASV1638";"Bacteria";"Actinomycetota";"Actinomycetes";"Micrococcales";"Intrasporangiaceae";"Pedococcus"
"ASV1639";"Bacteria";"Pseudomonadota";"Betaproteobacteria";"Burkholderiales";"Comamonadaceae";"Pelomonas"
"ASV1640";"Bacteria";"Pseudomonadota";"Gammaproteobacteria";"NA";"NA";"Candidatus Kentron"
"ASV1641";"Bacteria";"Pseudomonadota";"Alphaproteobacteria";"Hyphomicrobiales";"Beijerinckiaceae";"Beijerinckia"
"ASV1642";"Eukaryota";"Ciliophora";"Oligohymenophorea";"Philasterida";"Philasteridae";"Philasterides"
"ASV1643";"Eukaryota";"Microsporidia";"NA";"NA";"Tubulinosematidae";"Tubulinosema"
"ASV1644";"Eukaryota";"Chlorophyta";"Trebouxiophyceae";"Prasiolales";"Prasiolaceae";"Prasiolopsis"
"ASV1645";"Bacteria";"Bacteroidota";"Flavobacteriia";"NA";"NA";"Candidatus Bostrichicola"
"ASV1646";"Bacteria";"Pseudomonadota";"Alphaproteobacteria";"Hyphomicrobiales";"Hyphomicrobiaceae";"Rhodoplanes"
"ASV1647";"Eukaryota";"Basidiomycota";"Agaricomycetes";"Agaricales";"Physalacriaceae";"Guyanagaster"
"ASV1648";"Bacteria";"Pseudomonadota";"Gammaproteobacteria";"Enterobacterales";"Enterobacteriaceae";"Candidatus Profftia"
"ASV1649";"Bacteria";"Pseudomonadota";"Betaproteobacteria";"Burkholderiales";"Burkholderiaceae";"Ralstonia"
"ASV1650";"Bacteria";"Pseudomonadota";"Betaproteobacteria";"Burkholderiales";"Sphaerotilaceae";"Ideonella"
"ASV1651";"Bacteria";"Bacteroidota";"Chitinophagia";"Chitinophagales";"Chitinophagaceae";"Lacibacter"
"ASV1652";"Bacteria";"Bacteroidota";"Bacteroidia";"Bacteroidales";"Dysgonomonadaceae";"Proteiniphilum"
"ASV1653";"Bacteria";"Pseudomonadota";"Alphaproteobacteria";"Maricaulales";"Robiginitomaculaceae";"Robiginitomaculum"
"ASV1654";"Bacteria";"Bacillota";"Bacilli";"Lactobacillales";"Lactobacillaceae";"Levilactobacillus"
"ASV1655";"Bacteria";"Pseudomonadota";"Betaproteobacteria";"Burkholderiales";"Sphaerotilaceae";"Caldimonas"
"ASV1656";"Bacteria";"Planctomycetota";"Planctomycetia";"Pirellulales";"Pirellulaceae";"Anatilimnocola"
"ASV1657";"Bacteria";"Bacteroidota";"Chitinophagia";"Chitinophagales";"Chitinophagaceae";"Sediminibacterium"
"ASV1658";"Bacteria";"Pseudomonadota";"Alphaproteobacteria";"Rhodobacterales";"Paracoccaceae";"Pelagivirga"
"ASV1659";"Bacteria";"Actinomycetota";"Actinomycetes";"Pseudonocardiales";"Pseudonocardiaceae";"Saccharothrix"
"ASV1660";"Eukaryota";"Basidiomycota";"Agaricomycetes";"Polyporales";"Fibroporiaceae";"Fibroporia"
"ASV1661";"Eukaryota";"NA";"Glaucocystophyceae";"Glaucocystales";"Glaucocystaceae";"Glaucocystis"
"ASV1662";"Bacteria";"Pseudomonadota";"Alphaproteobacteria";"Micropepsales";"Micropepsaceae";"Rhizomicrobium"
"ASV1663";"Bacteria";"Pseudomonadota";"Alphaproteobacteria";"Rhodospirillales";"Acetobacteraceae";"Sabulicella"
"ASV1664";"Bacteria";"Pseudomonadota";"Gammaproteobacteria";"Pasteurellales";"Pasteurellaceae";"Pasteurella"
"ASV1665";"Eukaryota";"Ascomycota";"Pezizomycetes";"Pezizales";"Sarcosomataceae";"Galiella"
"ASV1666";"Bacteria";"Bacteroidota";"Chitinophagia";"Chitinophagales";"Chitinophagaceae";"Niastella"
"ASV1667";"Eukaryota";"Ascomycota";"Sordariomycetes";"Hypocreales";"NA";"Aphanocladium"
"ASV1668";"Eukaryota";"Ascomycota";"Leotiomycetes";"Helotiales";"Dermateaceae";"Marssonina"
"ASV1669";"Bacteria";"Actinomycetota";"Actinomycetes";"Mycobacteriales";"Dietziaceae";"Dietzia"
"ASV1670";"Eukaryota";"Ascomycota";"Sordariomycetes";"Magnaporthales";"Magnaporthaceae";"Magnaporthiopsis"
"ASV1671";"Eukaryota";"Ascomycota";"Sordariomycetes";"Xylariales";"Hypoxylaceae";"Rostrohypoxylon"
"ASV1672";"Eukaryota";"Microsporidia";"NA";"NA";"NA";"Pseudoloma"
"ASV1673";"Eukaryota";"Ascomycota";"Eurotiomycetes";"Onygenales";"Ajellomycetaceae";"Emmonsia"
"ASV1674";"Bacteria";"Cyanobacteriota";"Cyanophyceae";"Nostocales";"Scytonemataceae";"Scytonema"
"ASV1675";"Bacteria";"Actinomycetota";"Actinomycetes";"Micrococcales";"Micrococcaceae";"Acaricomes"
"ASV1676";"Bacteria";"Pseudomonadota";"Betaproteobacteria";"Burkholderiales";"Oxalobacteraceae";"Herbaspirillum"
"ASV1677";"Bacteria";"Cyanobacteriota";"Cyanophyceae";"Nostocales";"Hapalosiphonaceae";"Aetokthonos"
"ASV1678";"Bacteria";"Pseudomonadota";"Gammaproteobacteria";"Nevskiales";"Sinobacteraceae";"Solimonas"
"ASV1679";"Bacteria";"Myxococcota";"NA";"Polyangiales";"Polyangiaceae";"Sorangium"
"ASV1680";"Bacteria";"Pseudomonadota";"Alphaproteobacteria";"Rhodobacterales";"Roseobacteraceae";"Roseobacter"
"ASV1681";"Eukaryota";"Ascomycota";"Saccharomycetes";"Saccharomycetales";"Saccharomycetaceae";"Torulaspora"
"ASV1682";"Bacteria";"Cyanobacteriota";"Cyanophyceae";"Gloeomargaritales";"Gloeomargaritaceae";"Gloeomargarita"
"ASV1683";"Bacteria";"Pseudomonadota";"Betaproteobacteria";"Burkholderiales";"Comamonadaceae";"Alicycliphilus"
"ASV1684";"Bacteria";"Actinomycetota";"Actinomycetes";"Micromonosporales";"Micromonosporaceae";"Krasilnikovia"
"ASV1685";"Bacteria";"Pseudomonadota";"Alphaproteobacteria";"Futianiales";"Futianiaceae";"Futiania"
"ASV1686";"Eukaryota";"NA";"Olisthodiscophyceae";"NA";"Olisthodiscaceae";"Olisthodiscus"
"ASV1687";"Bacteria";"Actinomycetota";"Actinomycetes";"Pseudonocardiales";"Pseudonocardiaceae";"Prauserella"
"ASV1688";"Bacteria";"Bacteroidota";"Flavobacteriia";"Flavobacteriales";"Weeksellaceae";"Elizabethkingia"
"ASV1689";"Bacteria";"Pseudomonadota";"Betaproteobacteria";"Burkholderiales";"Oxalobacteraceae";"Rugamonas"
"ASV1690";"Eukaryota";"Basidiomycota";"Ustilaginomycetes";"Ustilaginales";"Ustilaginaceae";"Melanopsichium"
"ASV1691";"Eukaryota";"Basidiomycota";"Agaricomycetes";"Boletales";"Melanogastraceae";"Melanogaster"
"ASV1692";"Bacteria";"Cyanobacteriota";"Cyanophyceae";"Nostocales";"Aphanizomenonaceae";"Sphaerospermopsis"
"ASV1693";"Bacteria";"Pseudomonadota";"Alphaproteobacteria";"Hyphomicrobiales";"Rhizobiaceae";"Gellertiella"
"ASV1694";"Eukaryota";"Euglenozoa";"Euglenida";"Heteronematales";"Peranemidae";"Peranema"
"ASV1695";"Bacteria";"Pseudomonadota";"Betaproteobacteria";"Rhodocyclales";"Rhodocyclaceae";"Azospira"
"ASV1696";"Bacteria";"Cyanobacteriota";"Cyanophyceae";"Pseudanabaenales";"Thermosynechococcaceae";"Thermosynechococcus"
"ASV1697";"Eukaryota";"Mucoromycota";"Mortierellomycetes";"Mortierellales";"Mortierellaceae";"Gryganskiella"
"ASV1698";"Eukaryota";"NA";"Dinophyceae";"Dinophysiales";"Dinophysiaceae";"Dinophysis"
"ASV1699";"Bacteria";"Bacteroidota";"Cytophagia";"Cytophagales";"Cytophagaceae";"Siphonobacter"
"ASV1700";"Bacteria";"Cyanobacteriota";"Cyanophyceae";"Oscillatoriales";"Oscillatoriaceae";"Moorena"
"ASV1701";"Bacteria";"Bacteroidota";"Chitinophagia";"Chitinophagales";"Chitinophagaceae";"Flavisolibacter"
"ASV1702";"Bacteria";"Bacillota";"Bacilli";"Bacillales";"Paenibacillaceae";"Brevibacillus"
"ASV1703";"Eukaryota";"Ascomycota";"Lecanoromycetes";"Lecanorales";"Ramalinaceae";"Ramalina"
"ASV1704";"Bacteria";"Pseudomonadota";"Alphaproteobacteria";"Hyphomicrobiales";"Rhizobiaceae";"Mycoplana"
"ASV1705";"Bacteria";"Actinomycetota";"Actinomycetes";"Kitasatosporales";"Streptomycetaceae";"Wenjunlia"
"ASV1706";"Bacteria";"Actinomycetota";"Thermoleophilia";"Miltoncostaeales";"Miltoncostaeaceae";"Miltoncostaea"
"ASV1707";"Eukaryota";"Chlorophyta";"Trebouxiophyceae";"Chlorellales";"Oocystaceae";"Hemichloris"
"ASV1708";"Bacteria";"Pseudomonadota";"Gammaproteobacteria";"Orbales";"Orbaceae";"Gilliamella"
"ASV1709";"Bacteria";"Cyanobacteriota";"Cyanophyceae";"Nostocales";"Aphanizomenonaceae";"Aphanizomenon"
"ASV1710";"Eukaryota";"Euglenozoa";"Euglenida";"Euglenales";"Phacaceae";"Phacus"
"ASV1711";"Bacteria";"Pseudomonadota";"Alphaproteobacteria";"Hyphomicrobiales";"Lichenihabitantaceae";"Lichenihabitans"
"ASV1712";"Eukaryota";"Rhodophyta";"Florideophyceae";"Corynodactylales";"Corynodactylaceae";"Corynodactylus"
"ASV1713";"Eukaryota";"NA";"Polycystinea";"Nassellaria";"Plagiacanthidae";"Lithomelissa"
"ASV1714";"Bacteria";"Balneolota";"Balneolia";"Balneolales";"Balneolaceae";"Gracilimonas"
"ASV1715";"Bacteria";"Cyanobacteriota";"Cyanophyceae";"Chroococcales";"Chroococcaceae";"Geminocystis"
"ASV1716";"Eukaryota";"Basidiomycota";"Agaricomycetes";"Polyporales";"Polyporaceae";"Daedaleopsis"
"ASV1717";"Bacteria";"Bacteroidota";"Cytophagia";"Cytophagales";"Spirosomaceae";"Runella"
"ASV1718";"Eukaryota";"NA";"NA";"Apusomonadida";"Apusomonadidae";"Apusomonas"
"ASV1719";"Eukaryota";"Ascomycota";"Pezizomycetes";"Pezizales";"Pyronemataceae";"Otidea"
"ASV1720";"Eukaryota";"Basidiomycota";"Agaricomycetes";"Boletales";"Boletinellaceae";"Phlebopus"
"ASV1721";"Eukaryota";"Oomycota";"NA";"Myzocytiopsidales";"Eurychasmataceae";"Eurychasma"
"ASV1722";"Eukaryota";"Basidiomycota";"Tremellomycetes";"Cystofilobasidiales";"Mrakiaceae";"Tausonia"
"ASV1723";"Eukaryota";"Heterolobosea";"NA";"NA";"Psalteriomonadidae";"Pseudoharpagon"
"ASV1724";"Bacteria";"Bacteroidota";"Chitinophagia";"Chitinophagales";"Chitinophagaceae";"Foetidibacter"
"ASV1725";"Bacteria";"Pseudomonadota";"Gammaproteobacteria";"Moraxellales";"Moraxellaceae";"Moraxella"
"ASV1726";"Eukaryota";"Apicomplexa";"Conoidasida";"Eucoccidiorida";"Sarcocystidae";"Toxoplasma"
"ASV1727";"Bacteria";"Pseudomonadota";"Alphaproteobacteria";"Hyphomicrobiales";"Rhodobiaceae";"Rhodobium"
"ASV1728";"Eukaryota";"Basidiomycota";"Agaricomycetes";"Hymenochaetales";"Hymenochaetaceae";"Hydnochaete"
"ASV1729";"Bacteria";"Pseudomonadota";"Alphaproteobacteria";"Hyphomicrobiales";"Beijerinckiaceae";"Methylocapsa"
"ASV1730";"Eukaryota";"Rhodophyta";"Florideophyceae";"Ceramiales";"Rhodomelaceae";"Digenea"
"ASV1731";"Eukaryota";"Basidiomycota";"Agaricomycetes";"Polyporales";"Gelatoporiaceae";"Obba"
"ASV1732";"Eukaryota";"Ascomycota";"Sordariomycetes";"Phyllachorales";"Telimenaceae";"Telimena"
"ASV1733";"Bacteria";"Pseudomonadota";"Betaproteobacteria";"Burkholderiales";"Oxalobacteraceae";"Collimonas"
"ASV1734";"Eukaryota";"NA";"Phaeophyceae";"Laminariales";"Alariaceae";"Undaria"
"ASV1735";"Bacteria";"Pseudomonadota";"Gammaproteobacteria";"Enterobacterales";"Hafniaceae";"Edwardsiella"
"ASV1736";"Eukaryota";"NA";"Dinophyceae";"Suessiales";"Suessiaceae";"Pelagodinium"
"ASV1737";"Eukaryota";"Ascomycota";"Leotiomycetes";"Helotiales";"NA";"Tetracladium"
"ASV1738";"Eukaryota";"Basidiomycota";"Agaricomycetes";"Boletales";"Boletaceae";"Pulveroboletus"
"ASV1739";"Eukaryota";"Foraminifera";"NA";"Astrorhizida";"Saccamminidae";"Ovammina"
"ASV1740";"Bacteria";"Pseudomonadota";"Alphaproteobacteria";"Hyphomicrobiales";"Phyllobacteriaceae";"Paramesorhizobium"
"ASV1741";"Bacteria";"Pseudomonadota";"Gammaproteobacteria";"Alteromonadales";"Colwelliaceae";"Pseudocolwellia"
"ASV1742";"Eukaryota";"NA";"Synurophyceae";"Synurales";"Mallomonadaceae";"Mallomonas"
"ASV1743";"Eukaryota";"Ciliophora";"Colpodea";"Colpodida";"Colpodidae";"Colpoda"
"ASV1744";"Bacteria";"Pseudomonadota";"Gammaproteobacteria";"Oceanospirillales";"Oleiphilaceae";"Oleiphilus"
"ASV1745";"Bacteria";"Thermodesulfobacteriota";"Desulfobulbia";"Desulfobulbales";"Desulfobulbaceae";"Desulfurivibrio"
"ASV1746";"Eukaryota";"Evosea";"Eumycetozoa";"Liceales";"Reticulariaceae";"Tubifera"
"ASV1747";"Bacteria";"Aquificota";"Aquificae";"Aquificales";"Hydrogenothermaceae";"Persephonella"
"ASV1748";"Bacteria";"Pseudomonadota";"Gammaproteobacteria";"Thiotrichales";"Thiotrichaceae";"Thiothrix"
"ASV1749";"Bacteria";"Actinomycetota";"Actinomycetes";"Micrococcales";"Brevibacteriaceae";"Brevibacterium"
"ASV1750";"Eukaryota";"Ascomycota";"Eurotiomycetes";"Phaeomoniellales";"NA";"Dolabra"
"ASV1751";"Eukaryota";"Ascomycota";"Eurotiomycetes";"Onygenales";"Arthrodermataceae";"Microsporum"
"ASV1752";"Bacteria";"Cyanobacteriota";"Cyanophyceae";"Chroococcales";"Chroococcaceae";"Gloeocapsa"
"ASV1753";"Bacteria";"Actinomycetota";"Actinomycetes";"Kineosporiales";"Kineosporiaceae";"Quadrisphaera"
"ASV1754";"Eukaryota";"Ascomycota";"Sordariomycetes";"Hypocreales";"Nectriaceae";"Gliocephalotrichum"
"ASV1755";"Eukaryota";"Endomyxa";"NA";"Vampyrellida";"Leptophryidae";"Arachnula"
"ASV1756";"Eukaryota";"NA";"Dinophyceae";"Oxyrrhinales";"Oxyrrhinaceae";"Oxyrrhis"
"ASV1757";"Bacteria";"Actinomycetota";"Actinomycetes";"Micrococcales";"Dermabacteraceae";"Brachybacterium"
"ASV1758";"Bacteria";"Pseudomonadota";"Gammaproteobacteria";"Xanthomonadales";"Rhodanobacteraceae";"Luteibacter"
"ASV1759";"Eukaryota";"Basidiomycota";"Pucciniomycetes";"Pucciniales";"Pucciniaceae";"Edythea"
"ASV1760";"Bacteria";"Pseudomonadota";"Gammaproteobacteria";"Chromatiales";"Thioalkalispiraceae";"Sulfurivermis"
"ASV1761";"Bacteria";"Pseudomonadota";"Gammaproteobacteria";"Legionellales";"Coxiellaceae";"Candidatus Aquirickettsiella"
"ASV1762";"Bacteria";"Pseudomonadota";"Gammaproteobacteria";"Xanthomonadales";"Rhodanobacteraceae";"Rhodanobacter"
"ASV1763";"Eukaryota";"Bacillariophyta";"Coscinodiscophyceae";"Chaetocerotales";"Chaetocerotaceae";"Bacteriastrum"
"ASV1764";"Bacteria";"Bacillota";"Bacilli";"Lactobacillales";"Lactobacillaceae";"Lacticaseibacillus"
"ASV1765";"Bacteria";"Actinomycetota";"Actinomycetes";"Propionibacteriales";"Propionibacteriaceae";"Granulicoccus"
"ASV1766";"Bacteria";"Bacillota";"Clostridia";"Eubacteriales";"Clostridiales Family XVII. Incertae Sedis";"Candidatus Hydrogenisulfobacillus"
"ASV1767";"Eukaryota";"Ascomycota";"Sordariomycetes";"Microascales";"Microascaceae";"Scedosporium"
"ASV1768";"Eukaryota";"Ascomycota";"Saccharomycetes";"Saccharomycetales";"Debaryomycetaceae";"Scheffersomyces"
"ASV1769";"Eukaryota";"Basidiomycota";"Agaricomycetes";"Boletales";"Boletaceae";"Chiua"
"ASV1770";"Bacteria";"Bacteroidota";"Chitinophagia";"Chitinophagales";"Chitinophagaceae";"Ginsengibacter"
"ASV1771";"Eukaryota";"Basidiomycota";"Agaricomycetes";"Agaricales";"Cortinariaceae";"Cortinarius"
"ASV1772";"Eukaryota";"Ascomycota";"Dothideomycetes";"Pleosporales";"Lentitheciaceae";"Keissleriella"
"ASV1773";"Eukaryota";"Basidiomycota";"Agaricomycetes";"Gloeophyllales";"Gloeophyllaceae";"Heliocybe"
"ASV1774";"Eukaryota";"Basidiomycota";"Agaricomycetes";"Agaricales";"Strophariaceae";"Flammula"
"ASV1775";"Eukaryota";"NA";"Phaeophyceae";"Cutleriales";"Cutleriaceae";"Cutleria"
"ASV1776";"Bacteria";"Pseudomonadota";"Betaproteobacteria";"Burkholderiales";"Alcaligenaceae";"Candidimonas"
"ASV1777";"Bacteria";"Pseudomonadota";"Alphaproteobacteria";"Rhodobacterales";"Paracoccaceae";"Limimaricola"
"ASV1778";"Eukaryota";"Ascomycota";"Saccharomycetes";"Saccharomycetales";"NA";"Kuraishia"
"ASV1779";"Eukaryota";"NA";"Eustigmatophyceae";"Eustigmatales";"Chlorobotryaceae";"Vischeria"
"ASV1780";"Eukaryota";"Ascomycota";"Eurotiomycetes";"Onygenales";"Arthrodermataceae";"Nannizzia"
"ASV1781";"Eukaryota";"Basidiomycota";"Cystobasidiomycetes";"Erythrobasidiales";"Erythrobasidiaceae";"Erythrobasidium"
"ASV1782";"Bacteria";"Pseudomonadota";"Gammaproteobacteria";"Oceanospirillales";"Alcanivoracaceae";"Marinicella"
"ASV1783";"Bacteria";"Pseudomonadota";"Betaproteobacteria";"Rhodocyclales";"Rhodocyclaceae";"Rhodocyclus"
"ASV1784";"Eukaryota";"Rhodophyta";"Florideophyceae";"Halymeniales";"Halymeniaceae";"Grateloupia"
"ASV1785";"Bacteria";"Pseudomonadota";"Gammaproteobacteria";"Alteromonadales";"Ferrimonadaceae";"Ferrimonas"
"ASV1786";"Bacteria";"Pseudomonadota";"Alphaproteobacteria";"Rhodobacterales";"Paracoccaceae";"Arenibacterium"
"ASV1787";"Eukaryota";"Basidiomycota";"Agaricomycetes";"Agaricales";"Bolbitiaceae";"Conocybe"
"ASV1788";"Bacteria";"Actinomycetota";"Actinomycetes";"Streptosporangiales";"Streptosporangiaceae";"Spongiactinospora"
"ASV1789";"Bacteria";"Bacteroidota";"Flavobacteriia";"Flavobacteriales";"Flavobacteriaceae";"Flaviramulus"
"ASV1790";"Bacteria";"Chloroflexota";"Chloroflexia";"Chloroflexales";"Oscillochloridaceae";"Candidatus Chloroploca"
"ASV1791";"Bacteria";"Actinomycetota";"Actinomycetes";"Micrococcales";"Demequinaceae";"Demequina"
"ASV1792";"Eukaryota";"Basidiomycota";"Bartheletiomycetes";"Bartheletiales";"Bartheletiaceae";"Bartheletia"
"ASV1793";"Bacteria";"Pseudomonadota";"Alphaproteobacteria";"Hyphomicrobiales";"Nitrobacteraceae";"Nitrobacter"
"ASV1794";"Eukaryota";"Ciliophora";"Spirotrichea";"Choreotrichida";"Strombidinopsidae";"Strombidinopsis"
